anio,accidentes_totales,accidentes_validos,accidentes_con_victimas,proporcion_con_victimas
1997,248114,248114,71629,0.288694
1998,262687,262687,73309,0.279074
1999,285494,285494,74751,0.26183
2000,311938,311938,83804,0.268656
2001,364869,364869,91637,0.25115
2002,399002,399002,94790,0.237568
2003,424490,424490,99432,0.234239
2004,443607,443607,92485,0.208484
2005,452233,452233,105343,0.23294
2006,471272,471272,105915,0.224743
2007,476279,476279,113188,0.237651
2008,466435,466435,109984,0.235797
2009,428467,428467,106035,0.247475
2010,427267,427267,100005,0.234057
2011,387185,387185,93485,0.241448
2012,390411,390411,91006,0.233103
2013,385772,385772,87554,0.226958
2014,380573,380573,84716,0.222601
2015,382066,382066,77994,0.204138
2016,360051,360051,71838,0.199522
2017,367789,367789,68381,0.185925
2018,381708,365281,66934,0.18324
2019,378814,362729,68835,0.18977
2020,318046,301678,56381,0.186891
2021,356315,340415,64433,0.189278
2022,392710,392710,70860,0.180438
2023,396628,396628,70976,0.178949
2024,390627,390627,68108,0.174356
