id_entidad,entidad,accidentes_totales,porcentaje_total
19,Nuevo León,1997136,18.6112
14,Jalisco,1050429,9.7889
08,Chihuahua,954587,8.8957
11,Guanajuato,488084,4.5484
28,Tamaulipas,474457,4.4214
26,Sonora,465898,4.3417
02,Baja California,459787,4.2847
05,Coahuila de Zaragoza,434401,4.0482
15,México,431671,4.0227
09,Ciudad de México,351198,3.2728
16,Michoacán de Ocampo,290805,2.71
22,Querétaro,286433,2.6692
30,Veracruz de Ignacio de la Llave,280527,2.6142
25,Sinaloa,274129,2.5546
21,Puebla,273659,2.5502
10,Durango,211991,1.9755
23,Quintana Roo,210322,1.96
17,Morelos,192398,1.7929
31,Yucatán,171599,1.5991
24,San Luis Potosí,162045,1.5101
06,Colima,150486,1.4024
20,Oaxaca,140036,1.305
01,Aguascalientes,129079,1.2029
12,Guerrero,125780,1.1721
03,Baja California Sur,114664,1.0685
13,Hidalgo,111764,1.0415
07,Chiapas,105357,0.9818
27,Tabasco,95388,0.8889
04,Campeche,94146,0.8773
32,Zacatecas,74877,0.6978
18,Nayarit,70449,0.6565
29,Tlaxcala,57267,0.5337
