id_entidad,entidad,accidentes_validos,accidentes_con_victimas,proporcion_con_victimas
31,Yucatán,170676,76813,0.450052
25,Sinaloa,274096,121866,0.444611
01,Aguascalientes,128995,45167,0.350145
10,Durango,211780,73927,0.349075
18,Nayarit,70038,23761,0.339259
23,Quintana Roo,210322,71022,0.337682
30,Veracruz de Ignacio de la Llave,274329,88221,0.321588
27,Tabasco,95299,30338,0.318345
26,Sonora,464082,135402,0.291763
09,Ciudad de México,351198,100741,0.28685
12,Guerrero,123961,35050,0.28275
24,San Luis Potosí,160258,44188,0.27573
06,Colima,150471,41027,0.272657
11,Guanajuato,487845,131112,0.268757
32,Zacatecas,74208,18925,0.255026
20,Oaxaca,114781,29078,0.253335
07,Chiapas,100931,24991,0.247605
16,Michoacán de Ocampo,289616,71368,0.246423
04,Campeche,94090,23151,0.246052
15,México,431457,104617,0.242474
05,Coahuila de Zaragoza,433848,103678,0.238973
02,Baja California,459787,108713,0.236442
08,Chihuahua,953964,214203,0.22454
29,Tlaxcala,55731,12155,0.218101
17,Morelos,192364,41649,0.216511
28,Tamaulipas,473578,97702,0.206306
03,Baja California Sur,114663,23459,0.204591
21,Puebla,265328,53644,0.20218
13,Hidalgo,108238,21377,0.1975
19,Nuevo León,1996421,246337,0.123389
22,Querétaro,286354,34739,0.121315
14,Jalisco,1047360,115387,0.110169
