id_entidad,id_municipio,entidad,municipio,accidentes_totales,porcentaje_total
19,039,Nuevo León,Monterrey,735357,6.8527
14,039,Jalisco,Guadalajara,479445,4.4679
08,019,Chihuahua,Chihuahua,370461,3.4523
19,046,Nuevo León,San Nicolás de los Garza,286331,2.6683
08,037,Chihuahua,Juárez,265872,2.4776
14,120,Jalisco,Zapopan,242542,2.2602
19,026,Nuevo León,Guadalupe,241524,2.2507
02,004,Baja California,Tijuana,221015,2.0596
19,019,Nuevo León,San Pedro Garza García,220056,2.0507
22,014,Querétaro,Querétaro,191182,1.7816
11,020,Guanajuato,León,186084,1.7341
16,053,Michoacán de Ocampo,Morelia,163192,1.5208
21,114,Puebla,Puebla,159938,1.4905
26,030,Sonora,Hermosillo,134620,1.2545
05,035,Coahuila de Zaragoza,Torreón,119588,1.1144
