id_entidad,id_municipio,entidad,municipio,accidentes_validos,accidentes_con_victimas,proporcion_con_victimas
06,009,Colima,Tecomán,14606,9252,0.633438
16,075,Michoacán de Ocampo,Los Reyes,4622,2834,0.613154
25,008,Sinaloa,Elota,3045,1829,0.600657
25,018,Sinaloa,Navolato,9635,5664,0.587857
15,121,México,Cuautitlán Izcalli,9919,5345,0.538865
26,033,Sonora,Huatabampo,3065,1643,0.536052
25,010,Sinaloa,El Fuerte,5422,2829,0.521763
23,004,Quintana Roo,Othón P. Blanco,23092,11916,0.516023
31,050,Yucatán,Mérida,74611,38491,0.515889
31,052,Yucatán,Motul,6679,3366,0.503968
26,026,Sonora,Etchojoa,5216,2621,0.502492
31,089,Yucatán,Ticul,7318,3578,0.488931
17,003,Morelos,Axochiapan,3368,1625,0.482482
25,011,Sinaloa,Guasave,13666,6525,0.477462
25,012,Sinaloa,Mazatlán,45955,21288,0.463236
